player_name,team_code,mlb_team,position,is_pitcher,is_keeper,draft_dollars
T. Megill,SKD,,P,TRUE,FALSE,1
K. Harrison,RGS,,P,TRUE,FALSE,1
J. Martinez,DEV,,P,TRUE,FALSE,8
E. Philips,LDY,,P,TRUE,FALSE,8
K. Finnegan,SHO,,P,TRUE,FALSE,8
T. Scott,DKG,,P,TRUE,FALSE,15
R. Pressly,DMK,,P,TRUE,FALSE,10
R. Helsley,DDG,,P,TRUE,FALSE,10
A. Diaz,SKD,,P,TRUE,FALSE,1
C. Faucher,RGS,,P,TRUE,FALSE,1
R. Walker,DEV,,P,TRUE,FALSE,31
T. Kinley,LDY,,P,TRUE,FALSE,31
R. Iglesias,SHO,,P,TRUE,FALSE,31
